mass_A
t	x
1.458123333E1	1.060724234E2
1.461460000E1	9.310956606E1
1.464796667E1	5.392243150E1
1.468133333E1	1.097247443E1
1.471470000E1	-2.108324851E1
1.474806667E1	-2.488683944E1
1.478143333E1	-2.671071835E0
1.481480000E1	4.021679865E1
1.484816667E1	8.111384158E1
1.488153333E1	1.054920163E2
1.491490000E1	9.909237868E1
1.494826667E1	6.771322505E1
1.498163333E1	2.395084605E1
1.501500000E1	3.945187813E0
1.504836667E1	6.881620483E0
1.508173333E1	2.113613701E1
1.511510000E1	3.296061738E1
1.514846667E1	3.584375112E1
1.518183333E1	4.193976136E1
1.521520000E1	4.617689570E1
1.524856667E1	4.507301035E1
1.528193333E1	4.091035034E1
1.531530000E1	3.646359628E1
1.534866667E1	3.319338543E1
1.538203333E1	3.299433091E1
1.541540000E1	3.553814102E1
1.544876667E1	3.970215771E1
1.548213333E1	4.402982370E1
1.551550000E1	4.607994860E1
1.554886667E1	4.516368813E1
1.558223333E1	4.196967132E1
1.561560000E1	3.719437602E1
1.564896667E1	3.388566623E1
1.568233333E1	3.208071047E1
1.571570000E1	3.309951334E1
1.574906667E1	3.602078555E1
1.578243333E1	3.899348854E1
1.581580000E1	3.898015093E1
1.584916667E1	3.511313738E1
1.588253333E1	3.214818815E1
1.591590000E1	3.638710190E1
1.594926667E1	5.866422299E1
1.598263333E1	1.095726736E2
1.601600000E1	2.152283288E2
1.604936667E1	2.394320184E2
1.608273333E1	2.396216978E2
1.611610000E1	2.159419733E2
1.614946667E1	1.939599380E2
1.618283333E1	1.942314888E2
1.621620000E1	2.301693922E2
1.624956667E1	2.834339723E2
1.628293333E1	3.460003512E2
1.638303333E1	3.285389180E2
1.644976667E1	-3.850000000E1
1.648313333E1	-5.777977277E1
1.651650000E1	-4.063955904E1
1.654986667E1	1.354853936E1
1.658323333E1	7.162535407E1
1.661660000E1	1.172480041E2
1.664996667E1	1.228409497E2
1.668333333E1	9.255765479E1
1.671670000E1	3.470333543E1
1.675006667E1	-2.250713992E1
1.678343333E1	-5.645109880E1
1.681680000E1	-5.052675332E1
1.685016667E1	-7.299859865E0
1.688353333E1	5.503194751E1
1.691690000E1	1.038903025E2
1.695026667E1	1.243850577E2
1.698363333E1	1.035300628E2
1.701700000E1	5.324224187E1
1.705036667E1	-7.560587175E0
1.708373333E1	-4.936577064E1
1.711710000E1	-5.610506430E1
1.715046667E1	-2.127439795E1
1.718383333E1	3.473875556E1
1.721720000E1	9.208215165E1
1.725056667E1	1.206719531E2
1.728393333E1	1.131982068E2
1.731730000E1	6.938793258E1
1.735066667E1	1.014557986E1
1.738403333E1	-4.037226089E1
1.741740000E1	-5.717767409E1
1.745076667E1	-3.539664830E1
1.748413333E1	1.823749187E1
1.751750000E1	7.568047193E1
1.755086667E1	1.159093267E2
1.758423333E1	1.182622179E2
1.761760000E1	8.462977844E1
1.765096667E1	2.708779423E1
1.768433333E1	-2.745664123E1
1.771770000E1	-5.636837912E1
1.775106667E1	-4.433380148E1
1.778443333E1	8.943293211E-2
1.781780000E1	6.027457123E1
1.785116667E1	1.061328299E2
1.788453333E1	1.212866770E2
1.791790000E1	9.717797623E1
1.795126667E1	4.541999717E1
1.798463333E1	-1.297778857E1
1.801800000E1	-5.029183815E1
1.805136667E1	-5.150019292E1
1.808473333E1	-1.397271610E1
1.811810000E1	4.246158988E1
1.815146667E1	9.587043602E1
1.818483333E1	1.197100769E2
1.821820000E1	1.075218502E2
1.825156667E1	6.169883212E1
1.828493333E1	3.387564376E0
1.831830000E1	-4.259178999E1
1.835166667E1	-5.430153571E1
1.838503333E1	-2.804239744E1
1.841840000E1	2.581886812E1
1.845176667E1	8.124623035E1
1.848513333E1	1.160922821E2
1.851850000E1	1.137061713E2
1.855186667E1	7.702136925E1
1.858523333E1	1.966057094E1
1.861860000E1	-3.138685752E1
1.865196667E1	-5.474150684E1
1.868533333E1	-3.820527364E1
1.871870000E1	8.525000308E0
1.875206667E1	6.664636889E1
1.878543333E1	1.082281454E2
1.881880000E1	1.177258144E2
1.885216667E1	8.959147144E1
1.888553333E1	3.682057859E1
1.891890000E1	-1.861613390E1
1.895226667E1	-5.080986556E1
1.898563333E1	-4.643315956E1
1.901900000E1	-6.149476578E0
1.905236667E1	4.977622496E1
1.908573333E1	9.881538785E1
1.911910000E1	1.176043601E2
1.915246667E1	1.004946122E2
1.918583333E1	5.260993295E1
1.921920000E1	-3.755939943E0
1.925256667E1	-4.497905138E1
1.928593333E1	-5.088729064E1
1.931930000E1	-2.050939537E1
1.935266667E1	3.372365562E1
1.938603333E1	8.637041763E1
1.941940000E1	1.156241346E2
1.945276667E1	1.083219181E2
1.948613333E1	6.837907520E1
1.951950000E1	1.161863710E1
1.955286667E1	-3.535006491E1
1.958623333E1	-5.275681843E1
1.961960000E1	-3.154364983E1
1.965296667E1	1.713327801E1
1.968633333E1	7.268472961E1
1.971970000E1	1.097285863E2
1.975306667E1	1.134708698E2
1.978643333E1	8.167104377E1
1.981980000E1	2.845925108E1
1.985316667E1	-2.365991731E1
1.988653333E1	-5.049454392E1
1.991990000E1	-4.048453387E1
1.995326667E1	1.982950874E0
1.998663333E1	5.738456715E1
2.002000000E1	1.016818795E2
2.005336667E1	1.153131033E2
2.008673333E1	9.352253720E1
2.012010000E1	4.437372496E1
2.015346667E1	-9.866644683E0
2.018683333E1	-4.567491985E1
2.022020000E1	-4.640976742E1
2.025356667E1	-1.218571422E1
2.028693333E1	4.160788080E1
2.032030000E1	9.092851956E1
2.035366667E1	1.144019774E2
2.038703333E1	1.023683053E2
2.042040000E1	5.962901774E1
2.045376667E1	4.556196375E0
2.048713333E1	-3.815193711E1
2.052050000E1	-4.972524251E1
2.055386667E1	-2.446522641E1
2.058723333E1	2.557993511E1
2.062060000E1	7.836202250E1
2.065396667E1	1.103347171E2
2.068733333E1	1.085200156E2
2.072070000E1	7.348240091E1
2.075406667E1	2.024191114E1
2.078743333E1	-2.823153999E1
2.082080000E1	-4.956609857E1
2.085416667E1	-3.439851021E1
2.088753333E1	1.032987660E1
2.092090000E1	6.420907539E1
2.095426667E1	1.036177418E2
2.098763333E1	1.116988195E2
2.102100000E1	8.561718496E1
2.105436667E1	3.559846285E1
2.108773333E1	-1.620107498E1
2.112110000E1	-4.657843389E1
2.115446667E1	-4.173276462E1
2.118783333E1	-4.416399322E0
2.122120000E1	4.886543236E1
2.125456667E1	9.420362563E1
2.128793333E1	1.121648765E2
2.132130000E1	9.548814974E1
