mass_A
t	x
1.860191667E1	0.000000000E0
1.861860000E1	4.756629869E-1
1.863528333E1	1.157978581E0
1.865196667E1	1.944321800E0
1.866865000E1	2.306220295E0
1.868533333E1	3.273395155E0
1.870201667E1	4.786048333E0
1.871870000E1	6.098437882E0
1.873538333E1	7.489611513E0
1.875206667E1	8.084695613E0
1.876875000E1	7.925985420E0
1.878543333E1	6.828339326E0
1.880211667E1	4.097966857E0
1.881880000E1	1.023373953E0
1.883548333E1	-2.860605994E0
1.885216667E1	-6.670743939E0
1.886885000E1	-9.929592252E0
1.888553333E1	-1.279729196E1
1.890221667E1	-1.407874505E1
1.891890000E1	-1.423754962E1
1.893558333E1	-1.316440473E1
1.895226667E1	-1.106000481E1
1.896895000E1	-8.026012110E0
1.898563333E1	-4.186100557E0
1.900231667E1	-4.146058344E-1
1.901900000E1	3.035040873E0
1.903568333E1	5.955282923E0
1.905236667E1	7.860942916E0
1.906905000E1	8.169311103E0
1.908573333E1	7.807944123E0
1.910241667E1	5.975868374E0
1.911910000E1	3.054886171E0
1.913578333E1	-2.674502137E-1
1.915246667E1	-4.018718785E0
1.916915000E1	-7.698014424E0
1.918583333E1	-1.070743509E1
1.920251667E1	-1.285700540E1
1.921920000E1	-1.392708596E1
1.923588333E1	-1.369083417E1
1.925256667E1	-1.217158234E1
1.926925000E1	-9.785678109E0
1.928593333E1	-6.511278240E0
1.930261667E1	-2.942129746E0
1.931930000E1	8.230064183E-1
1.933598333E1	3.919249754E0
1.935266667E1	5.812272897E0
1.936935000E1	5.239336102E0
1.938603333E1	4.114704436E0
1.940271667E1	4.008142361E0
1.941940000E1	4.685726262E0
1.943608333E1	4.920328214E0
1.945276667E1	4.871349779E0
1.946945000E1	4.597229766E0
1.948613333E1	3.363145504E0
1.950281667E1	1.136603016E0
1.951950000E1	-1.060033415E0
1.953618333E1	-3.843940942E0
1.955286667E1	-6.202174427E0
1.956955000E1	-8.206803111E0
1.958623333E1	-1.001279662E1
1.960291667E1	-1.094157936E1
1.961960000E1	-1.095991866E1
1.963628333E1	-9.972079754E0
1.965296667E1	-8.079855267E0
1.966965000E1	-6.007476563E0
1.968633333E1	-3.258420310E0
